gift_mgmt_no,gift_goods_dtl_no,gift_limit_qty,vir_vend_no,gift_limit_qty_mng_yn,goods_nm,goods_no,item_nm,gift_goods_nm,gift_limit_rest_qt,item_no,cmps_qty
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2200009790,2200014513,0,VV10000001,N,[SMN] 스파츌라 백색,2211580161,[SMN] 스파츌라 백색,[SMN] 스파츌라 백색,0,63099706313,1
2200009790,2200014513,0,VV10000001,N,[SMN] 스파츌라 백색,2211580161,[SMN] 스파츌라 백색,[SMN] 스파츌라 백색,0,63099706313,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400018010,2400030329,0,VV10000001,N,[사은품][딥티크] 벨벳 핸드로션 10ml,2308876919,투명/F,[사은품][딥티크] 벨벳 핸드로션 10ml 투명/F,0,6533932000400,1
2400018010,2400030328,0,VV10000001,N,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml,2303701165,클리어/F,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml 클리어/F,0,6532961000800,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
2400017320,2400029105,0,VV10000001,N,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2407584598,내츄럴 블랙/F,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스 내츄럴 블랙/F,0,6834925000100,1
2400017320,2400029105,0,VV10000001,N,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2407584598,내츄럴 블랙/F,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스 내츄럴 블랙/F,0,6834925000100,1
2400017457,2400029324,0,VV10000001,N,HG 파운데이션 퍼프 세트,2208541560,HG 파운데이션 퍼프 세트,HG 파운데이션 퍼프 세트,0,68099705846,1
2400017320,2400029105,0,VV10000001,N,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2407584598,내츄럴 블랙/F,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스 내츄럴 블랙/F,0,6834925000100,1
1900002250,1900002648,0,VV10000001,N,[사은품] 하이드라 히알루론7 오버나이트 마스크 브러쉬,1909213677,화이트/F,[사은품] 하이드라 히알루론7 오버나이트 마스크 브러쉬 화이트/F,0,6989127000300,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
2400017975,2400030292,0,VV10000001,N,*LP_JLS 쇼핑백 S  - 로컬,2308868780,*LP_JLS 쇼핑백 S  - 로컬,*LP_JLS 쇼핑백 S  - 로컬,0,61099707665,1
2400017975,2400030291,0,VV10000001,N,*LP_JLS 리본 - 85cm_로컬,2202459610,*LP_JLS 리본 - 85cm_로컬,*LP_JLS 리본 - 85cm_로컬,0,61099705341,1
2400015946,2400026452,0,VV10000001,N,[사은품][조러브스] EDT 망고 타이 라임 10ml,2202455889,투명/F,[사은품][조러브스] EDT 망고 타이 라임 10ml 투명/F,0,6111968004800,1
2400017975,2400030292,0,VV10000001,N,*LP_JLS 쇼핑백 S  - 로컬,2308868780,*LP_JLS 쇼핑백 S  - 로컬,*LP_JLS 쇼핑백 S  - 로컬,0,61099707665,1
2400017975,2400030291,0,VV10000001,N,*LP_JLS 리본 - 85cm_로컬,2202459610,*LP_JLS 리본 - 85cm_로컬,*LP_JLS 리본 - 85cm_로컬,0,61099705341,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017844,2400030083,1200,VV10000001,Y,[사은품] 전초 컨센트레이트 마스크 (1매),2108395604,골드/F,[사은품] 전초 컨센트레이트 마스크 (1매) 골드/F,825,C231914000200,3
2400018041,2400030390,0,VV10000001,N,YJ 쇼핑백(소) (50개입/BOX),2302668259,YJ 쇼핑백(소) (50개입/BOX),YJ 쇼핑백(소) (50개입/BOX),0,C2099706930,1
2400017842,2400030085,200,VV10000001,Y,YJ 달토끼 파우치,2408972082,YJ 달토끼 파우치,YJ 달토끼 파우치,73,C2099709301,1
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2400018017,2400030344,0,VV10000001,N,NEW 폴더블 백 중,2305766583,NEW 폴더블 백 중,NEW 폴더블 백 중,0,CU099707175,1
2400018017,2400030344,0,VV10000001,N,NEW 폴더블 백 중,2305766583,NEW 폴더블 백 중,NEW 폴더블 백 중,0,CU099707175,1
2400018017,2400030344,0,VV10000001,N,NEW 폴더블 백 중,2305766583,NEW 폴더블 백 중,NEW 폴더블 백 중,0,CU099707175,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
2400016535,2400027475,0,VV10000001,N,SMN 1221 디퓨저 쇼핑백 (NEW),2302685369,SMN 1221 디퓨저 쇼핑백 (NEW),SMN 1221 디퓨저 쇼핑백 (NEW),0,63099706978,1
2100006626,2100008827,0,VV10000001,N,[SMN] 디퓨저스틱 (8개입),2107390361,[SMN] 디퓨저스틱 (8개입),[SMN] 디퓨저스틱 (8개입),0,63099704790,1
2400016535,2400027475,0,VV10000001,N,SMN 1221 디퓨저 쇼핑백 (NEW),2302685369,SMN 1221 디퓨저 쇼핑백 (NEW),SMN 1221 디퓨저 쇼핑백 (NEW),0,63099706978,1
2100006626,2100008827,0,VV10000001,N,[SMN] 디퓨저스틱 (8개입),2107390361,[SMN] 디퓨저스틱 (8개입),[SMN] 디퓨저스틱 (8개입),0,63099704790,1
2400016535,2400027475,0,VV10000001,N,SMN 1221 디퓨저 쇼핑백 (NEW),2302685369,SMN 1221 디퓨저 쇼핑백 (NEW),SMN 1221 디퓨저 쇼핑백 (NEW),0,63099706978,1
2100006626,2100008827,0,VV10000001,N,[SMN] 디퓨저스틱 (8개입),2107390361,[SMN] 디퓨저스틱 (8개입),[SMN] 디퓨저스틱 (8개입),0,63099704790,1
2400016535,2400027475,0,VV10000001,N,SMN 1221 디퓨저 쇼핑백 (NEW),2302685369,SMN 1221 디퓨저 쇼핑백 (NEW),SMN 1221 디퓨저 쇼핑백 (NEW),0,63099706978,1
2100006626,2100008827,0,VV10000001,N,[SMN] 디퓨저스틱 (8개입),2107390361,[SMN] 디퓨저스틱 (8개입),[SMN] 디퓨저스틱 (8개입),0,63099704790,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
2400017320,2400029105,0,VV10000001,N,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스,2407584598,내츄럴 블랙/F,[사은품] 커션 익스트림 래쉬 마스카라 3.8g - 디럭스 내츄럴 블랙/F,0,6834925000100,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2400017705,2400029783,0,VV10000001,N,SP_P) 스몰 페이퍼 백 (국내) 22,2406346151,SP_P) 스몰 페이퍼 백 (국내) 22,SP_P) 스몰 페이퍼 백 (국내) 22,0,CY099708801,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
2000004242,2000005034,0,VV10000001,N,[SMN] 향수 스프레이캡,6304971006,[SMN] 향수 스프레이캡,[SMN] 향수 스프레이캡,0,6304971006,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2400016575,2400027553,0,VV10000001,N,LP_ORB Shopping Bag,6104911033,LP_ORB Shopping Bag,LP_ORB Shopping Bag,0,6104911033,1
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2300012855,2300020265,0,VV10000001,N,BY_Pumps for Body Lotion,6204971064,BY_Pumps for Body Lotion,BY_Pumps for Body Lotion,0,6204971064,1
2400017844,2400030083,1200,VV10000001,Y,[사은품] 전초 컨센트레이트 마스크 (1매),2108395604,골드/F,[사은품] 전초 컨센트레이트 마스크 (1매) 골드/F,825,C231914000200,3
2400018037,2400030375,0,VV10000001,N,빅 서 애프터 레인 오토 프래그런스,2207525982,화이트/F,빅 서 애프터 레인 오토 프래그런스 화이트/F,0,CR12950000100,1
2400018037,2400030375,0,VV10000001,N,빅 서 애프터 레인 오토 프래그런스,2207525982,화이트/F,빅 서 애프터 레인 오토 프래그런스 화이트/F,0,CR12950000100,1
2400018036,2400030374,0,VV10000001,N,[사은품] 와일드 브루클린 라벤더 오토 프래그런스,2408868182,00 아이씨/F,[사은품] 와일드 브루클린 라벤더 오토 프래그런스 00 아이씨/F,0,CR24950000100,1
2400018036,2400030373,0,VV10000001,N,빅 서 애프터 레인 오토 프래그런스,2207525982,화이트/F,빅 서 애프터 레인 오토 프래그런스 화이트/F,0,CR12950000100,1
2400018037,2400030375,0,VV10000001,N,빅 서 애프터 레인 오토 프래그런스,2207525982,화이트/F,빅 서 애프터 레인 오토 프래그런스 화이트/F,0,CR12950000100,1
2400018037,2400030375,0,VV10000001,N,빅 서 애프터 레인 오토 프래그런스,2207525982,화이트/F,빅 서 애프터 레인 오토 프래그런스 화이트/F,0,CR12950000100,1
2400017841,2400030088,50,VV10000001,Y,[사은품] 골드 이모탈스 캔들 35g,2312008259,65 베르 이집시앙/F,[사은품] 골드 이모탈스 캔들 35g 65 베르 이집시앙/F,21,CZ23936001200,1
2400017841,2400030087,50,VV10000001,Y,[사은품] 퍼퓸드 헤어&바디 미스트 갤버나이즈 2ml,2109404312,투명/F,[사은품] 퍼퓸드 헤어&바디 미스트 갤버나이즈 2ml 투명/F,21,CZ21936003900,1
2400017841,2400030086,50,VV10000001,Y,[사은품] 이그졸트 오 드 퍼퓸 미스트 2ml,2106377491,골드/F,[사은품] 이그졸트 오 드 퍼퓸 미스트 2ml 골드/F,21,CZ20936003500,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400017943,2400030252,0,VV10000001,N,DBS 쇼핑백 - 스몰 (12x10x16),2208549016,DBS 쇼핑백 - 스몰 (12x10x16),DBS 쇼핑백 - 스몰 (12x10x16),0,61099705991,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400016576,2400027554,0,VV10000001,N,[사은품] LP_쇼핑백(소),6105911022,[사은품] LP_쇼핑백(소),[사은품] LP_쇼핑백(소),0,6105911022,1
2400017943,2400030252,0,VV10000001,N,DBS 쇼핑백 - 스몰 (12x10x16),2208549016,DBS 쇼핑백 - 스몰 (12x10x16),DBS 쇼핑백 - 스몰 (12x10x16),0,61099705991,1
2400017943,2400030252,0,VV10000001,N,DBS 쇼핑백 - 스몰 (12x10x16),2208549016,DBS 쇼핑백 - 스몰 (12x10x16),DBS 쇼핑백 - 스몰 (12x10x16),0,61099705991,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2200009790,2200014513,0,VV10000001,N,[SMN] 스파츌라 백색,2211580161,[SMN] 스파츌라 백색,[SMN] 스파츌라 백색,0,63099706313,1
2200009790,2200014513,0,VV10000001,N,[SMN] 스파츌라 백색,2211580161,[SMN] 스파츌라 백색,[SMN] 스파츌라 백색,0,63099706313,1
2400017777,2400030011,0,VV10000001,N,[사은품] 퍼퓸드헤어2종샤셰 베르가못 (각10ml),2307840099,클리어/F,[사은품] 퍼퓸드헤어2종샤셰 베르가못 (각10ml) 클리어/F,0,C733911000200,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2200009660,2200014353,0,VV10000001,N,[사은품] 프래그런스 디퓨저 스틱,2211578995,클리어/F,[사은품] 프래그런스 디퓨저 스틱 클리어/F,0,C732911000200,1
2400017777,2400030011,0,VV10000001,N,[사은품] 퍼퓸드헤어2종샤셰 베르가못 (각10ml),2307840099,클리어/F,[사은품] 퍼퓸드헤어2종샤셰 베르가못 (각10ml) 클리어/F,0,C733911000200,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2200009660,2200014353,0,VV10000001,N,[사은품] 프래그런스 디퓨저 스틱,2211578995,클리어/F,[사은품] 프래그런스 디퓨저 스틱 클리어/F,0,C732911000200,1
2400017777,2400030011,0,VV10000001,N,[사은품] 퍼퓸드헤어2종샤셰 베르가못 (각10ml),2307840099,클리어/F,[사은품] 퍼퓸드헤어2종샤셰 베르가못 (각10ml) 클리어/F,0,C733911000200,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2200009660,2200014353,0,VV10000001,N,[사은품] 프래그런스 디퓨저 스틱,2211578995,클리어/F,[사은품] 프래그런스 디퓨저 스틱 클리어/F,0,C732911000200,1
2400017525,2400029459,0,VV10000001,N,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml,2303701165,클리어/F,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml 클리어/F,0,6532961000800,1
2400018010,2400030329,0,VV10000001,N,[사은품][딥티크] 벨벳 핸드로션 10ml,2308876919,투명/F,[사은품][딥티크] 벨벳 핸드로션 10ml 투명/F,0,6533932000400,1
2400018010,2400030328,0,VV10000001,N,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml,2303701165,클리어/F,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml 클리어/F,0,6532961000800,1
2400017525,2400029459,0,VV10000001,N,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml,2303701165,클리어/F,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml 클리어/F,0,6532961000800,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2300012341,2300019275,0,VV10000001,N,[DV]OI 펌프 280ml,2302682559,[DV]OI 펌프 280ml,[DV]OI 펌프 280ml,0,CQ099706950,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300012341,2300019275,0,VV10000001,N,[DV]OI 펌프 280ml,2302682559,[DV]OI 펌프 280ml,[DV]OI 펌프 280ml,0,CQ099706950,1
2300010539,2300015792,0,VV10000001,N,[DV] 오아이 펌프 1000ml,2301633195,[DV] 오아이 펌프 1000ml,[DV] 오아이 펌프 1000ml,0,CQ099706816,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300011483,2300017555,0,VV10000001,N,[DV] 네추럴텍 펌프 1000ml,2301633194,[DV] 네추럴텍 펌프 1000ml,[DV] 네추럴텍 펌프 1000ml,0,CQ099706815,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
2300012363,2300019315,0,VV10000001,N,[DV] 에센셜 펌프 1000ml,2301633193,[DV] 에센셜 펌프 1000ml,[DV] 에센셜 펌프 1000ml,0,CQ099706814,1
